Rank,Player,Team,2019-20,2020-21,2021-22,Signed Using,Guaranteed
192,kris dunn\dunnkr01,chi,5348007.0,9384835.395415472,11534705.223300971,1st round pick,5348007.0
193,josh smith\smithjo03,det,5331729.0,9384835.395415472,11534705.223300971,1st round pick,5331729.0
194,coby white\whiteco01,chi,5307120.0,5572680.0,5837760.0,1st round pick,10879800.0
195,lauri markkanen\markkla01,chi,5300400.0,6731508.0,11534705.223300971,1st round pick,12031908.0
196,ryan anderson\anderry01,mia,5214583.0,5214583.0,5214584.0,1st round pick,15643750.0
197,wendell carter\cartewe01,chi,5201400.0,5448840.0,6920027.0,1st round pick,10650240.0
198,pau gasol\gasolpa01,sas,5100000.0,9384835.395415472,11534705.223300971,1st round pick,5100000.0
199,daniel theis\theisda01,bos,5000000.0,5000000.0,11534705.223300971,early bird rights,5000000.0
200,luol deng\denglu01,lal,4990000.0,4990000.0,4990000.0,1st round pick,14970000.0
201,jaxson hayes\hayesja02,nop,4862040.0,5105160.0,5348280.0,1st round pick,9967200.0
202,buddy hield\hieldbu01,sac,4861208.0,24431818.0,22477273.0,1st round pick,90861208.0
203,frank ntilikina\ntilila01,nyk,4855800.0,6176578.0,11534705.223300971,1st round pick,11032378.0
204,ed davis\davised01,uta,4767000.0,5005350.0,11534705.223300971,room exception,9772350.0
205,richaun holmes\holmeri01,sac,4767000.0,5005350.0,11534705.223300971,room exception,9772350.0
206,frank kaminsky\kaminfr01,pho,4767000.0,5005350.0,11534705.223300971,room exception,9772350.0
207,mike scott\scottmi01,phi,4767000.0,5005350.0,11534705.223300971,room exception,9772350.0
208,avery bradley\bradlav01,lal,4767000.0,5005350.0,11534705.223300971,room exception,9772350.0
209,robin lopez\lopezro01,mil,4767000.0,5005350.0,11534705.223300971,room exception,4767000.0
210,jamychal green\greenja01,lac,4767000.0,5005350.0,11534705.223300971,room exception,4767000.0
211,justin holiday\holidju01,ind,4767000.0,9384835.395415472,11534705.223300971,room exception,4767000.0
212,garrett temple\templga01,brk,4767000.0,5005350.0,11534705.223300971,room exception,4767000.0
213,enes kanter\kanteen01,bos,4767000.0,5005350.0,11534705.223300971,room exception,4767000.0
214,collin sexton\sextoco01,cle,4764960.0,4991880.0,6349671.0,1st round pick,9756840.0
215,rodney mcgruder\mcgruro01,lac,4629630.0,5000000.0,5370370.0,cap space,15000000.0
216,rui hachimura\hachiru01,was,4469160.0,4692840.0,4916160.0,1st round pick,9162000.0
217,kevon looney\looneke01,gsw,4464286.0,4821429.0,5178572.0,bird rights,9285715.0
218,dennis smith\smithde03,nyk,4463640.0,5686677.0,11534705.223300971,1st round pick,10150317.0
219,jamal murray\murraja01,den,4444746.0,29250000.0,31590000.0,1st round pick,174094746.0
220,kevin knox\knoxke01,nyk,4380120.0,4588680.0,5845978.0,1st round pick,8968800.0
221,cam reddish\reddica01,atl,4245720.0,4458000.0,4670160.0,1st round pick,8703720.0
222,zach collins\colliza01,por,4240200.0,5406255.0,11534705.223300971,1st round pick,9646455.0
223,mikal bridges\bridgmi01,pho,4161000.0,4359000.0,5557725.0,1st round pick,8520000.0
224,alex len\lenal01,sac,4160000.0,9384835.395415472,11534705.223300971,room exception,4160000.0
225,cameron johnson\johnsca02,pho,4033440.0,4235160.0,4437000.0,1st round pick,8268600.0
226,malik monk\monkma01,cho,4028400.0,5345687.0,11534705.223300971,1st round pick,9374087.0
227,dorian finney-smith\finnedo01,dal,4000000.0,4000000.0,4000000.0,bird rights,12000000.0
228,javale mcgee\mcgeeja01,lal,4000000.0,4200000.0,11534705.223300971,cap space,8200000.0
229,patrick mccaw\mccawpa01,tor,4000000.0,4000000.0,11534705.223300971,mle,8000000.0
230,reggie bullock\bullore01,nyk,4000000.0,4200000.0,11534705.223300971,room exception,5000000.0
231,shai gilgeous-alexander\gilgesh01,okc,3952920.0,4141320.0,5495532.0,1st round pick,8094240.0
232,nicolò melli\mellini01,nop,3902439.0,4097561.0,11534705.223300971,room exception,8000000.0
233,p.j. washington\washipj01,cho,3831840.0,4023600.0,4215120.0,1st round pick,7855440.0
234,luke kennard\kennalu01,det,3827160.0,5273826.0,11534705.223300971,1st round pick,9100986.0
235,miles bridges\bridgmi02,cho,3755400.0,3934320.0,5421493.0,1st round pick,7689720.0
236,jakob poeltl\poeltja01,sas,3754886.0,9384835.395415472,11534705.223300971,1st round pick,3754886.0
237,tyler herro\herroty01,mia,3640200.0,3822240.0,4004280.0,1st round pick,7462440.0
238,donovan mitchell\mitchdo01,uta,3635760.0,5195501.0,11534705.223300971,1st round pick,8831261.0
239,stanley johnson\johnsst04,tor,3623000.0,3801000.0,11534705.223300971,bi-annual exception,3623000.0
240,jake layman\laymaja01,min,3581986.0,3761085.0,3940184.0,sign and trade,11283255.0
241,thon maker\makerth01,det,3569643.0,9384835.395415472,11534705.223300971,1st round pick,3569643.0
242,jerome robinson\robinje01,was,3567720.0,3737520.0,5340916.0,1st round pick,7305240.0
243,allonzo trier\trieral01,nyk,3551100.0,9384835.395415472,11534705.223300971,1st round pick,3551100.0
244,danuel house\houseda01,hou,3540000.0,3717000.0,3894000.0,mle,11151000.0
245,domantas sabonis\sabondo01,ind,3529555.0,17187500.0,18562500.0,1st round pick,80529555.0
246,mirza teletović\teletmi01,mil,3500000.0,3500000.0,11534705.223300971,1st round pick,7000000.0
247,boban marjanović\marjabo01,dal,3500000.0,3500000.0,11534705.223300971,bi-annual exception,7000000.0
248,t.j. mcconnell\mccontj01,ind,3500000.0,3500000.0,11534705.223300971,cap space,4500000.0
249,demarcus cousins\couside01,lal,3500000.0,9384835.395415472,11534705.223300971,1st round pick,3500000.0
250,taurean waller-prince\princta02,brk,3481986.0,13942308.0,15057692.0,1st round pick,32481986.0
251,dario šarić\saricda01,pho,3481986.0,9384835.395415472,11534705.223300971,1st round pick,3481986.0
252,romeo langford\langfro01,bos,3458400.0,3631200.0,3804360.0,1st round pick,7089600.0
253,bam adebayo\adebaba01,mia,3454080.0,5115492.0,11534705.223300971,1st round pick,8569572.0
254,kyle korver\korveky01,pho,3440000.0,9384835.395415472,11534705.223300971,1st round pick,3440000.0
255,michael porter\portemi01,den,3389400.0,3550800.0,5258735.0,1st round pick,6940200.0
256,denzel valentine\valende01,chi,3377569.0,9384835.395415472,11534705.223300971,1st round pick,3377569.0
257,juan hernangómez\hernaju01,min,3321030.0,9384835.395415472,11534705.223300971,1st round pick,3321030.0
258,sekou doumbouya\doumbse01,det,3285120.0,3449400.0,3613680.0,1st round pick,6734520.0
259,justin jackson\jacksju01,dal,3280920.0,5029650.0,11534705.223300971,1st round pick,8310570.0
260,troy brown\browntr01,was,3219480.0,3372840.0,5170564.0,1st round pick,6592320.0
261,jon leuer\leuerjo01,mil,3169348.0,3169348.0,3169347.0,1st round pick,9508043.0
262,yogi ferrell\ferreyo01,sac,3150000.0,9384835.395415472,11534705.223300971,cap space,3150000.0
263,guerschon yabusele\yabusgu01,bos,3117240.0,9384835.395415472,11534705.223300971,1st round pick,3117240.0
264,zhaire smith\smithzh01,phi,3058800.0,3204600.0,4915856.0,1st round pick,6263400.0
265,dwight howard\howardw01,mem,3039097.0,9384835.395415472,11534705.223300971,1st round pick,3039097.0
266,khem birch\birchkh01,orl,3000000.0,3000000.0,11534705.223300971,early bird rights,6000000.0
267,ryan arcidiacono\arcidry01,chi,3000000.0,3000000.0,3000000.0,cap space,6000000.0
268,quinn cook\cookqu01,lal,3000000.0,3000000.0,11534705.223300971,cap space,4000000.0
269,ömer aşık\asikom01,chi,3000000.0,9384835.395415472,11534705.223300971,1st round pick,3000000.0
270,nickeil alexander-walker\alexani01,nop,2964840.0,3113160.0,3261480.0,1st round pick,6078000.0
271,d.j. wilson\wilsodj01,mil,2961120.0,4548280.0,11534705.223300971,1st round pick,7509400.0
272,cedi osman\osmande01,cle,2907143.0,8750000.0,8050000.0,mle,27057143.0
273,donte divincenzo\divindo01,mil,2905800.0,3044160.0,4675830.0,1st round pick,5949960.0
274,bryn forbes\forbebr01,sas,2875000.0,9384835.395415472,11534705.223300971,early bird rights,2875000.0
275,andrew nicholson\nichoan01,por,2844429.0,2844429.0,2844429.0,1st round pick,14222145.0
276,goga bitadze\bitadgo01,ind,2816760.0,2957520.0,3098400.0,1st round pick,5774280.0
277,t.j. leaf\leaftj01,ind,2813280.0,4326825.0,11534705.223300971,1st round pick,7140105.0
278,lonnie walker\walkelo01,sas,2760480.0,2892000.0,4447896.0,1st round pick,5652480.0
279,alex caruso\carusal01,lal,2750000.0,2750000.0,11534705.223300971,room exception,5500000.0
280,malik beasley\beaslma01,min,2731714.0,9384835.395415472,11534705.223300971,1st round pick,2731714.0
281,luka šamanić\samanlu01,sas,2689920.0,2824320.0,2959080.0,1st round pick,5514240.0
282,john collins\collijo01,atl,2686560.0,4137302.0,11534705.223300971,1st round pick,6823862.0
283,kevin huerter\huertke01,atl,2636280.0,2761920.0,4253357.0,1st round pick,5398200.0
284,caris levert\leverca01,brk,2625718.0,16203704.0,17500000.0,1st round pick,55125718.0
285,marko guduric\gudurma01,mem,2625000.0,2750000.0,11534705.223300971,bi-annual exception,5375000.0
286,deandre' bembry\bembrde01,atl,2603982.0,9384835.395415472,11534705.223300971,1st round pick,2603982.0
287,matisse thybulle\thybuma01,phi,2582160.0,2711280.0,2840160.0,1st round pick,5293440.0
288,harry giles\gilesha01,sac,2578800.0,9384835.395415472,11534705.223300971,1st round pick,2578800.0
289,jeff green\greenje02,uta,2564753.0,9384835.395415472,11534705.223300971,1st round pick,2564753.0
290,pau gasol\gasolpa01,por,2564753.0,9384835.395415472,11534705.223300971,1st round pick,2564753.0
291,wesley matthews\matthwe02,mil,2564753.0,2692991.0,11534705.223300971,minimum salary,2564753.0
292,kyle korver\korveky01,mil,2564753.0,9384835.395415472,11534705.223300971,minimum salary,2564753.0
293,udonis haslem\hasleud01,mia,2564753.0,9384835.395415472,11534705.223300971,minimum salary,2564753.0
294,jared dudley\dudleja01,lal,2564753.0,9384835.395415472,11534705.223300971,minimum salary,2564753.0
295,rajon rondo\rondora01,lal,2564753.0,2619605.0,11534705.223300971,minimum salary,2564753.0
296,dwight howard\howardw01,lal,2564753.0,9384835.395415472,11534705.223300971,minimum salary,2564753.0
297,thabo sefolosha\sefolth01,hou,2564753.0,9384835.395415472,11534705.223300971,minimum salary,2564753.0
298,tyson chandler\chandty01,hou,2564753.0,9384835.395415472,11534705.223300971,minimum salary,2564753.0
299,gerald green\greenge01,den,2564753.0,9384835.395415472,11534705.223300971,1st round pick,2564753.0
300,j.j. barea\bareajo01,dal,2564753.0,9384835.395415472,11534705.223300971,minimum salary,2564753.0
301,wilson chandler\chandwi01,brk,2564753.0,9384835.395415472,11534705.223300971,minimum salary,2564753.0
302,nenê hilário\hilarne01,atl,2564753.0,9384835.395415472,11534705.223300971,1st round pick,2564753.0
303,vince carter\cartevi01,atl,2564753.0,9384835.395415472,11534705.223300971,minimum salary,2564753.0
304,josh okogie\okogijo01,min,2530680.0,2651040.0,4087904.0,1st round pick,5181720.0
305,vincent poirier\poirivi01,bos,2505793.0,2619207.0,11534705.223300971,minimum salary,5125000.0
306,rondae hollis-jefferson\holliro01,tor,2500000.0,9384835.395415472,11534705.223300971,mle,2500000.0
307,brandon clarke\clarkbr01,mem,2478840.0,2602920.0,2726880.0,1st round pick,5081760.0
308,terrance ferguson\fergute01,okc,2475840.0,3944013.0,11534705.223300971,1st round pick,6419853.0
309,grayson allen\allengr01,mem,2429400.0,2545320.0,4054695.0,1st round pick,4974720.0
310,anthony tolliver\tollian01,sac,2419852.0,9384835.395415472,11534705.223300971,1st round pick,2419852.0
311,grant williams\willigr01,bos,2379840.0,2498760.0,2617800.0,1st round pick,4878600.0
312,jarrett allen\allenja01,brk,2376840.0,3909902.0,11534705.223300971,1st round pick,6286742.0
313,pascal siakam\siakapa01,tor,2351839.0,29000000.0,31320000.0,1st round pick,132271839.0
314,skal labissière\labissk01,atl,2338847.0,9384835.395415472,11534705.223300971,1st round pick,2338847.0
315,chandler hutchison\hutchch01,chi,2332320.0,2443440.0,4019459.0,1st round pick,4775760.0
316,patrick patterson\pattepa01,lac,2331593.0,9384835.395415472,11534705.223300971,minimum salary,2331593.0
317,dejounte murray\murrade01,sas,2321735.0,14285714.0,15428571.0,1st round pick,66321735.0
318,alec burks\burksal01,phi,2320044.0,9384835.395415472,11534705.223300971,minimum salary,2320044.0
319,isaiah thomas\thomais02,lac,2320044.0,9384835.395415472,11534705.223300971,1st round pick,2320044.0
320,damian jones\jonesda03,atl,2305057.0,9384835.395415472,11534705.223300971,1st round pick,2305057.0
321,darius bazley\bazleda01,okc,2284800.0,2399160.0,2513040.0,1st round pick,4683960.0
322,og anunoby\anunoog01,tor,2281800.0,3872215.0,11534705.223300971,1st round pick,6154015.0
323,ante žižić\zizican01,cle,2281800.0,9384835.395415472,11534705.223300971,1st round pick,2281800.0
324,monta ellis\ellismo01,ind,2245400.0,2245400.0,2245400.0,1st round pick,6736200.0
325,markieff morris\morrima02,det,2241808.0,9384835.395415472,11534705.223300971,1st round pick,2241808.0
326,aaron holiday\holidaa01,ind,2239200.0,2345640.0,3980551.0,1st round pick,4584840.0
327,luke kornet\kornelu01,chi,2195122.0,2304878.0,11534705.223300971,room exception,4500000.0
328,ty jerome\jeromty01,pho,2193480.0,2303040.0,2412840.0,1st round pick,4496520.0
329,willie cauley-stein\caulewi01,dal,2177483.0,2286357.0,11534705.223300971,mle,2177483.0
330,austin rivers\riverau01,hou,2174318.0,2369663.0,11534705.223300971,minimum salary,2174318.0
331,carmelo anthony\anthoca01,por,2159029.0,9384835.395415472,11534705.223300971,minimum salary,2159029.0
332,anfernee simons\simonan01,por,2149560.0,2252040.0,3938818.0,1st round pick,4401600.0
333,matt barnes\barnema02,sac,2133541.0,9384835.395415472,11534705.223300971,1st round pick,2133541.0
334,nassir little\littlna01,por,2105520.0,2210640.0,2316240.0,1st round pick,4316160.0
335,torrey craig\craigto01,den,2100000.0,9384835.395415472,11534705.223300971,cap space,2100000.0
336,moritz wagner\wagnemo01,was,2063520.0,2161920.0,3893618.0,1st round pick,4225440.0
337,dylan windler\windldy01,cle,2035800.0,2137440.0,2239200.0,1st round pick,4173240.0
338,caleb swanigan\swanica01,por,2033160.0,9384835.395415472,11534705.223300971,1st round pick,2033160.0
339,trey burke\burketr01,phi,2028594.0,9384835.395415472,11534705.223300971,1st round pick,2028594.0
340,kyle o'quinn\oquinky01,phi,2028594.0,9384835.395415472,11534705.223300971,minimum salary,2028594.0
341,michael carter-williams\cartemi01,orl,2028594.0,9384835.395415472,11534705.223300971,minimum salary,2028594.0
342,mike muscala\muscami01,okc,2028594.0,2283034.0,11534705.223300971,minimum salary,2028594.0
343,nerlens noel\noelne01,okc,2028594.0,9384835.395415472,11534705.223300971,minimum salary,2028594.0
344,troy daniels\danietr01,lal,2028594.0,9384835.395415472,11534705.223300971,1st round pick,2028594.0
345,ben mclemore\mclembe01,hou,2028594.0,2283034.0,11534705.223300971,minimum salary,2028594.0
346,spencer hawes\hawessp01,mil,2007058.0,9384835.395415472,11534705.223300971,1st round pick,2007058.0
347,edmond sumner\sumneed01,ind,2000000.0,2160000.0,2320000.0,cap space,4160000.0
348,avery bradley\bradlav01,mem,2000000.0,9384835.395415472,11534705.223300971,1st round pick,2000000.0
349,noah vonleh\vonleno01,den,2000000.0,9384835.395415472,11534705.223300971,mle,2000000.0
350,landry shamet\shamela01,lac,1995120.0,2090040.0,3768342.0,1st round pick,4085160.0
351,mfiondu kabengele\kabenmf01,lac,1977000.0,2075880.0,2174880.0,1st round pick,4052880.0
352,kyle kuzma\kuzmaky01,lal,1974600.0,3562178.0,11534705.223300971,1st round pick,5536778.0
353,jordan poole\poolejo01,gsw,1964760.0,2063280.0,2161440.0,1st round pick,4028040.0
354,tony bradley\bradlto01,uta,1962360.0,3542060.0,11534705.223300971,1st round pick,5504420.0
355,keldon johnson\johnske04,sas,1950600.0,2048040.0,2145720.0,1st round pick,3998640.0
356,derrick white\whitede01,sas,1948080.0,3516284.0,11534705.223300971,1st round pick,5464364.0
357,robert williams\williro04,bos,1937520.0,2029920.0,3661976.0,1st round pick,3967440.0
358,josh hart\hartjo01,nop,1934160.0,3491159.0,11534705.223300971,1st round pick,5425319.0
359,jacob evans\evansja02,min,1925880.0,2017320.0,3641263.0,1st round pick,3943200.0
360,anderson varejão\varejan01,por,1913345.0,1913345.0,11534705.223300971,1st round pick,3826690.0
361,džanan musa\musadz01,brk,1911600.0,2002800.0,3615054.0,1st round pick,3914400.0
362,omari spellman\spellom01,min,1897800.0,1988280.0,3588845.0,1st round pick,3886080.0
363,shabazz napier\napiesh01,was,1882867.0,9384835.395415472,11534705.223300971,cap space,1882867.0
364,glenn robinson\robingl02,phi,1882867.0,2071978.0,11534705.223300971,minimum salary,1882867.0
365,james ennis\ennisja01,orl,1882867.0,2071978.0,11534705.223300971,minimum salary,1882867.0
366,tim frazier\fraziti01,det,1882867.0,9384835.395415472,11534705.223300971,1st round pick,1882867.0
367,larry sanders\sandela01,mil,1865547.0,1865547.0,1865547.0,1st round pick,5596641.0
368,bruno caboclo\cabocbr01,hou,1845301.0,9384835.395415472,11534705.223300971,minimum salary,1845301.0
369,markieff morris\morrima02,lal,1750000.0,9384835.395415472,11534705.223300971,dpe,1750000.0
370,mario hezonja\hezonma01,por,1737145.0,1882867.0,11534705.223300971,minimum salary,3620012.0
371,emmanuel mudiay\mudiaem01,uta,1737145.0,9384835.395415472,11534705.223300971,minimum salary,1737145.0
372,raul neto\netora01,phi,1737145.0,9384835.395415472,11534705.223300971,minimum salary,1737145.0
373,jakarr sampson\sampsja02,ind,1737145.0,9384835.395415472,11534705.223300971,minimum salary,1737145.0
374,pat connaughton\connapa01,mil,1723050.0,9384835.395415472,11534705.223300971,mle,1723050.0
375,jahlil okafor\okafoja01,nop,1702486.0,9384835.395415472,11534705.223300971,minimum salary,1702486.0
376,rodions kurucs\kurucro01,brk,1699236.0,1780152.0,1861068.0,cap space,3479388.0
377,jonah bolden\boldejo01,phi,1698450.0,9384835.395415472,11534705.223300971,1st round pick,1698450.0
378,georges niang\niangge01,uta,1678854.0,1783557.0,11534705.223300971,non-bird exception,1678854.0
379,cheick diallo\diallch01,pho,1678854.0,1824003.0,11534705.223300971,minimum salary,1678854.0
